"","Date.x","DO","Alt","Month.x","dinflow","Month.y","JonesExp","BanksExpSWP","BanksExpCVP","Month","year","Date.y","FlowBin","OMRBin","BinNum","Date","Code","Wytype","Alt_name","Wytype_short","FlowBin_f","Wytype_f","MonthlyOMR","BinNum_f","totalEXP","dinflow_Minus_totalEXP_CFS","dinflow_Minus_totalEXP_percent","month","month_f"
"22",1924-12-30 16:00:00,18254.173781326,"EXP1 090623",12,17733.9444908111,12,0,0,0,12,1924,1924-12-31,"medlo","NA",NA,1924-12-31,5,"Critically Dry Years (40-30-30)","EXP1","CD","medlo","CD",652.692306544005,NA,0,17733.9444908111,0,12,"12"
"23",1925-01-30 16:00:00,18248.8108435989,"EXP1 090623",1,18442.1053975845,1,0,0,0,1,1925,1925-01-31,"medlo","NA",NA,1925-01-31,4,"Dry Years (40-30-30)","EXP1","D","medlo","D",585.917520161392,NA,0,18442.1053975845,0,1,"1"
"24",1925-02-27 16:00:00,126382.899292437,"EXP1 090623",2,123258.735300517,2,0,0,0,2,1925,1925-02-28,"hihi","NA",NA,1925-02-28,4,"Dry Years (40-30-30)","EXP1","D","hihi","D",2781.17947244604,NA,0,123258.735300517,0,2,"2"
"25",1925-03-30 16:00:00,36099.0934893291,"EXP1 090623",3,36636.2586546879,3,0,0,0,3,1925,1925-03-31,"himed","NA",NA,1925-03-31,4,"Dry Years (40-30-30)","EXP1","D","himed","D",1805.64611716516,NA,0,36636.2586546879,0,3,"3"
"26",1925-04-29 16:00:00,51367.4776627319,"EXP1 090623",4,51127.6920699506,4,0,0,0,4,1925,1925-04-30,"hihi","NA",NA,1925-04-30,4,"Dry Years (40-30-30)","EXP1","D","hihi","D",3117.65986804802,NA,0,51127.6920699506,0,4,"4"
"27",1925-05-30 16:00:00,23154.0555791617,"EXP1 090623",5,23491.5152171934,5,0,0,0,5,1925,1925-05-31,"medhi","NA",NA,1925-05-31,4,"Dry Years (40-30-30)","EXP1","D","medhi","D",2485.29135035552,NA,0,23491.5152171934,0,5,"5"
"28",1925-06-29 16:00:00,3214.24597387125,"EXP1 090623",6,7217.95910584587,6,0,0,0,6,1925,1925-06-30,"NA","NA",NA,1925-06-30,4,"Dry Years (40-30-30)","EXP1","D",NA,"D",-87.8513191475497,NA,0,7217.95910584587,0,6,"6"
"29",1925-12-30 16:00:00,10352.334246039,"EXP1 090623",12,11222.088077966,12,0,0,0,12,1925,1925-12-31,"lolo","NA",NA,1925-12-31,4,"Dry Years (40-30-30)","EXP1","D","lolo","D",387.793803864838,NA,0,11222.088077966,0,12,"12"
"30",1926-01-30 16:00:00,21056.2513224338,"EXP1 090623",1,20556.1730112603,1,0,0,0,1,1926,1926-01-31,"medlo","NA",NA,1926-01-31,4,"Dry Years (40-30-30)","EXP1","D","medlo","D",866.676122130131,NA,0,20556.1730112603,0,1,"1"
"31",1926-02-27 16:00:00,77924.2967664723,"EXP1 090623",2,75199.5964011175,2,0,0,0,2,1926,1926-02-28,"himed","NA",NA,1926-02-28,4,"Dry Years (40-30-30)","EXP1","D","himed","D",2252.08681877947,NA,0,75199.5964011175,0,2,"2"
"32",1926-03-30 16:00:00,21038.1266000521,"EXP1 090623",3,22289.0450763677,3,0,0,0,3,1926,1926-03-31,"medmed","NA",NA,1926-03-31,4,"Dry Years (40-30-30)","EXP1","D","medmed","D",1144.12635872807,NA,0,22289.0450763677,0,3,"3"
"33",1926-04-29 16:00:00,44204.454319426,"EXP1 090623",4,43016.1943861543,4,0,0,0,4,1926,1926-04-30,"hihi","NA",NA,1926-04-30,4,"Dry Years (40-30-30)","EXP1","D","hihi","D",2798.46368006324,NA,0,43016.1943861543,0,4,"4"
"34",1926-05-30 16:00:00,8673.96865929996,"EXP1 090623",5,11100.5541600272,5,0,0,0,5,1926,1926-05-31,"lomed","NA",NA,1926-05-31,4,"Dry Years (40-30-30)","EXP1","D","lomed","D",379.297113074018,NA,0,11100.5541600272,0,5,"5"
"35",1926-06-29 16:00:00,467.387560278948,"EXP1 090623",6,4484.62024322378,6,0,0,0,6,1926,1926-06-30,"NA","NA",NA,1926-06-30,4,"Dry Years (40-30-30)","EXP1","D",NA,"D",-432.057148648158,NA,0,4484.62024322378,0,6,"6"
"36",1926-12-30 16:00:00,28893.1849239618,"EXP1 090623",12,30362.4327639067,12,0,0,0,12,1926,1926-12-31,"himed","NA",NA,1926-12-31,4,"Dry Years (40-30-30)","EXP1","D","himed","D",767.55656137384,NA,0,30362.4327639067,0,12,"12"
"37",1927-01-30 16:00:00,54011.8711873092,"EXP1 090623",1,53689.9568333549,1,0,0,0,1,1927,1927-01-31,"himed","NA",NA,1927-01-31,1,"Wet Years (40-30-30)","EXP1","W","himed","W",1618.60112389129,NA,0,53689.9568333549,0,1,"1"
"38",1927-02-27 16:00:00,183957.489283296,"EXP1 090623",2,181231.689517641,2,0,0,0,2,1927,1927-02-28,"hihi","NA",NA,1927-02-28,1,"Wet Years (40-30-30)","EXP1","W","hihi","W",4842.21345007806,NA,0,181231.689517641,0,2,"2"
"39",1927-03-30 16:00:00,79292.0074745252,"EXP1 090623",3,79565.0545945123,3,0,0,0,3,1927,1927-03-31,"hihi","NA",NA,1927-03-31,1,"Wet Years (40-30-30)","EXP1","W","hihi","W",3185.23148683909,NA,0,79565.0545945123,0,3,"3"
"40",1927-04-29 16:00:00,75510.147998688,"EXP1 090623",4,75703.1623448464,4,0,0,0,4,1927,1927-04-30,"hihi","NA",NA,1927-04-30,1,"Wet Years (40-30-30)","EXP1","W","hihi","W",4565.82821176168,NA,0,75703.1623448464,0,4,"4"
"41",1927-05-30 16:00:00,19654.8695820456,"EXP1 090623",5,22385.0356112934,5,0,0,0,5,1927,1927-05-31,"medhi","NA",NA,1927-05-31,1,"Wet Years (40-30-30)","EXP1","W","medhi","W",2448.08103601778,NA,0,22385.0356112934,0,5,"5"
"42",1927-06-29 16:00:00,5591.20575244944,"EXP1 090623",6,9379.28486029395,6,0,0,0,6,1927,1927-06-30,"NA","NA",NA,1927-06-30,1,"Wet Years (40-30-30)","EXP1","W",NA,"W",535.563108673097,NA,0,9379.28486029395,0,6,"6"
"43",1927-12-30 16:00:00,19929.1970519488,"EXP1 090623",12,20380.5054818196,12,0,0,0,12,1927,1927-12-31,"medmed","NA",NA,1927-12-31,1,"Wet Years (40-30-30)","EXP1","W","medmed","W",967.586733272381,NA,0,20380.5054818196,0,12,"12"
