"","Alternative","Inflow Group","Mean","Min","Max"
"1","Alt2wTUCPwoVA","hihi",12.4495591610283,1.72175552507711,23.181993703654
"2","Alt2wTUCPwoVA","hilo",15.6562007679802,6.06451747408606,23.7212584907171
"3","Alt2wTUCPwoVA","himed",13.9192265775259,3.7162260221233,24.7617062178036
"4","Alt2wTUCPwoVA","lohi",31.9856111365395,23.3366545218609,48.1216062494615
"5","Alt2wTUCPwoVA","lolo",29.1466542469146,4.04073082555079,64.9899213721626
"6","Alt2wTUCPwoVA","lomed",26.8536165405693,12.2001403842923,47.2905266479979
"7","Alt2wTUCPwoVA","medhi",25.7832765262471,15.0319088167936,33.7223341989997
"8","Alt2wTUCPwoVA","medlo",31.1540929072931,11.6353202969926,64.9915906054456
"9","Alt2wTUCPwoVA","medmed",25.261332661385,14.2839038379139,64.9923956468392
"10","Alt2wTUCPwoVA",NA,32.534098523946,32.534098523946,32.534098523946
"11","Alt2woTUCPAllVA","hihi",11.8482987922559,1.72182574818194,23.2036553605545
"12","Alt2woTUCPAllVA","hilo",15.6876153262341,5.99543840228265,23.6476015141975
"13","Alt2woTUCPAllVA","himed",13.0736908953631,3.71768434130664,24.7589489918146
"14","Alt2woTUCPAllVA","lohi",31.2854157448255,9.43061541929809,64.9835499627603
"15","Alt2woTUCPAllVA","lolo",28.3562669653977,8.25543030013026,64.7998612469257
"16","Alt2woTUCPAllVA","lomed",24.3256218540509,9.75258835344112,47.2890411721508
"17","Alt2woTUCPAllVA","medhi",23.6313109245839,7.50155228401808,33.7257646842451
"18","Alt2woTUCPAllVA","medlo",31.783988478301,8.52997893527354,63.334723267546
"19","Alt2woTUCPAllVA","medmed",21.6638796145692,5.15480952776066,64.9923964722498
"20","Alt2woTUCPDeltaVA","hihi",11.7886884980906,1.7218512445507,23.2037559925754
"21","Alt2woTUCPDeltaVA","hilo",15.8276962329109,6.01683662746425,23.6959589615823
"22","Alt2woTUCPDeltaVA","himed",13.1801448272084,3.70903946789042,24.7538780618262
"23","Alt2woTUCPDeltaVA","lohi",30.7419238581596,9.16312373023036,64.9837152197541
"24","Alt2woTUCPDeltaVA","lolo",29.0823009494224,3.59371403309632,64.9899253630375
"25","Alt2woTUCPDeltaVA","lomed",24.3340396834456,10.1110072015208,47.2915133472166
"26","Alt2woTUCPDeltaVA","medhi",23.3619253882896,8.12404126965246,33.7257646842451
"27","Alt2woTUCPDeltaVA","medlo",31.1888620450132,8.21495457273912,63.3752824541109
"28","Alt2woTUCPDeltaVA","medmed",22.2353604827864,5.66169162608302,64.9923964479667
"29","Alt2woTUCPwoVA","hihi",12.4608154943462,1.7217681665978,23.1872467388008
"30","Alt2woTUCPwoVA","hilo",15.6744663121559,6.1238848994806,24.0305835856423
"31","Alt2woTUCPwoVA","himed",13.9487643847299,3.71634561229122,24.7584230891283
"32","Alt2woTUCPwoVA","lohi",31.1849421214559,18.2909773009471,44.4360059598764
"33","Alt2woTUCPwoVA","lolo",28.6257988930224,3.61942315699577,64.9899183539041
"34","Alt2woTUCPwoVA","lomed",26.4503377213707,9.67164870144942,47.2906333321216
"35","Alt2woTUCPwoVA","medhi",25.6896478111851,15.035988481775,33.7223341989997
"36","Alt2woTUCPwoVA","medlo",31.2462864307654,8.20234152599714,64.9915764539534
"37","Alt2woTUCPwoVA","medmed",25.1102678730052,10.3966199924964,64.9923954804812
"38","EXP1","hihi",0,0,0
"39","EXP1","hilo",0,0,0
"40","EXP1","himed",0,0,0
"41","EXP1","lohi",0,0,0
"42","EXP1","lolo",0,0,0
"43","EXP1","lomed",0,0,0
"44","EXP1","medhi",0,0,0
"45","EXP1","medlo",0,0,0
"46","EXP1","medmed",0,0,0
"47","EXP1",NA,0,0,0
"48","EXP3","hihi",0,0,0
"49","EXP3","hilo",0,0,0
"50","EXP3","himed",0,0,0
"51","EXP3","lohi",0,0,0
"52","EXP3","lolo",0,0,0
"53","EXP3","lomed",0,0,0
"54","EXP3","medhi",0,0,0
"55","EXP3","medlo",0,0,0
"56","EXP3","medmed",0,0,0
"57","EXP3",NA,0,0,0
"58","NAA","hihi",11.7100527007716,1.72159692948326,23.3032647433971
"59","NAA","hilo",15.5041635899073,6.19848871758973,21.9296771877877
"60","NAA","himed",13.6150674197844,3.69249198169923,24.6637665688962
"61","NAA","lohi",28.6721456263855,18.3480557967221,64.9836758281357
"62","NAA","lolo",29.4716882054431,3.58900118283017,64.9909435944246
"63","NAA","lomed",26.1433933756415,12.2521642862402,47.2896917776058
"64","NAA","medhi",21.462175346877,7.58780307533468,33.998088278477
"65","NAA","medlo",32.1004789273862,14.2788505018923,63.4519017896697
"66","NAA","medmed",24.6478201429549,11.3502552516675,64.9923825627955
