"","Date","JonesExp","BanksExpSWP","BanksExpCVP","Alt"
"107",1930-08-31,"0","0","0","EXP1 090623"
"108",1930-09-30,"0","0","0","EXP1 090623"
"109",1930-10-31,"0","0","0","EXP1 090623"
"110",1930-11-30,"0","0","0","EXP1 090623"
"111",1930-12-31,"0","0","0","EXP1 090623"
"112",1931-01-31,"0","0","0","EXP1 090623"
"113",1931-02-28,"0","0","0","EXP1 090623"
"114",1931-03-31,"0","0","0","EXP1 090623"
"115",1931-04-30,"0","0","0","EXP1 090623"
"116",1931-05-31,"0","0","0","EXP1 090623"
"117",1931-06-30,"0","0","0","EXP1 090623"
"118",1931-07-31,"0","0","0","EXP1 090623"
"119",1931-08-31,"0","0","0","EXP1 090623"
"120",1931-09-30,"0","0","0","EXP1 090623"
"121",1931-10-31,"0","0","0","EXP1 090623"
"122",1931-11-30,"0","0","0","EXP1 090623"
"123",1931-12-31,"0","0","0","EXP1 090623"
"124",1932-01-31,"0","0","0","EXP1 090623"
"125",1932-02-29,"0","0","0","EXP1 090623"
"126",1932-03-31,"0","0","0","EXP1 090623"
"127",1932-04-30,"0","0","0","EXP1 090623"
"128",1932-05-31,"0","0","0","EXP1 090623"
"129",1932-06-30,"0","0","0","EXP1 090623"
"130",1932-07-31,"0","0","0","EXP1 090623"
"131",1932-08-31,"0","0","0","EXP1 090623"
"132",1932-09-30,"0","0","0","EXP1 090623"
"133",1932-10-31,"0","0","0","EXP1 090623"
"134",1932-11-30,"0","0","0","EXP1 090623"
"135",1932-12-31,"0","0","0","EXP1 090623"
"136",1933-01-31,"0","0","0","EXP1 090623"
"137",1933-02-28,"0","0","0","EXP1 090623"
"138",1933-03-31,"0","0","0","EXP1 090623"
"139",1933-04-30,"0","0","0","EXP1 090623"
"140",1933-05-31,"0","0","0","EXP1 090623"
"141",1933-06-30,"0","0","0","EXP1 090623"
"142",1933-07-31,"0","0","0","EXP1 090623"
"143",1933-08-31,"0","0","0","EXP1 090623"
"144",1933-09-30,"0","0","0","EXP1 090623"
"145",1933-10-31,"0","0","0","EXP1 090623"
"146",1933-11-30,"0","0","0","EXP1 090623"
"147",1933-12-31,"0","0","0","EXP1 090623"
"148",1934-01-31,"0","0","0","EXP1 090623"
"149",1934-02-28,"0","0","0","EXP1 090623"
"150",1934-03-31,"0","0","0","EXP1 090623"
"151",1934-04-30,"0","0","0","EXP1 090623"
"152",1934-05-31,"0","0","0","EXP1 090623"
"153",1934-06-30,"0","0","0","EXP1 090623"
"154",1934-07-31,"0","0","0","EXP1 090623"
"155",1934-08-31,"0","0","0","EXP1 090623"
"156",1934-09-30,"0","0","0","EXP1 090623"
"157",1934-10-31,"0","0","0","EXP1 090623"
"158",1934-11-30,"0","0","0","EXP1 090623"
"159",1934-12-31,"0","0","0","EXP1 090623"
"160",1935-01-31,"0","0","0","EXP1 090623"
"161",1935-02-28,"0","0","0","EXP1 090623"
"162",1935-03-31,"0","0","0","EXP1 090623"
"163",1935-04-30,"0","0","0","EXP1 090623"
"164",1935-05-31,"0","0","0","EXP1 090623"
"165",1935-06-30,"0","0","0","EXP1 090623"
"166",1935-07-31,"0","0","0","EXP1 090623"
"167",1935-08-31,"0","0","0","EXP1 090623"
"168",1935-09-30,"0","0","0","EXP1 090623"
"169",1935-10-31,"0","0","0","EXP1 090623"
"170",1935-11-30,"0","0","0","EXP1 090623"
"171",1935-12-31,"0","0","0","EXP1 090623"
"172",1936-01-31,"0","0","0","EXP1 090623"
"173",1936-02-29,"0","0","0","EXP1 090623"
"174",1936-03-31,"0","0","0","EXP1 090623"
"175",1936-04-30,"0","0","0","EXP1 090623"
"176",1936-05-31,"0","0","0","EXP1 090623"
"177",1936-06-30,"0","0","0","EXP1 090623"
"178",1936-07-31,"0","0","0","EXP1 090623"
"179",1936-08-31,"0","0","0","EXP1 090623"
"180",1936-09-30,"0","0","0","EXP1 090623"
"181",1936-10-31,"0","0","0","EXP1 090623"
"182",1936-11-30,"0","0","0","EXP1 090623"
"183",1936-12-31,"0","0","0","EXP1 090623"
"184",1937-01-31,"0","0","0","EXP1 090623"
"185",1937-02-28,"0","0","0","EXP1 090623"
"186",1937-03-31,"0","0","0","EXP1 090623"
"187",1937-04-30,"0","0","0","EXP1 090623"
"188",1937-05-31,"0","0","0","EXP1 090623"
"189",1937-06-30,"0","0","0","EXP1 090623"
"190",1937-07-31,"0","0","0","EXP1 090623"
"191",1937-08-31,"0","0","0","EXP1 090623"
"192",1937-09-30,"0","0","0","EXP1 090623"
"193",1937-10-31,"0","0","0","EXP1 090623"
"194",1937-11-30,"0","0","0","EXP1 090623"
"195",1937-12-31,"0","0","0","EXP1 090623"
"196",1938-01-31,"0","0","0","EXP1 090623"
"197",1938-02-28,"0","0","0","EXP1 090623"
"198",1938-03-31,"0","0","0","EXP1 090623"
"199",1938-04-30,"0","0","0","EXP1 090623"
"200",1938-05-31,"0","0","0","EXP1 090623"
"201",1938-06-30,"0","0","0","EXP1 090623"
"202",1938-07-31,"0","0","0","EXP1 090623"
"203",1938-08-31,"0","0","0","EXP1 090623"
"204",1938-09-30,"0","0","0","EXP1 090623"
"205",1938-10-31,"0","0","0","EXP1 090623"
"206",1938-11-30,"0","0","0","EXP1 090623"
"207",1938-12-31,"0","0","0","EXP1 090623"
"208",1939-01-31,"0","0","0","EXP1 090623"
"209",1939-02-28,"0","0","0","EXP1 090623"
"210",1939-03-31,"0","0","0","EXP1 090623"
"211",1939-04-30,"0","0","0","EXP1 090623"
"212",1939-05-31,"0","0","0","EXP1 090623"
"213",1939-06-30,"0","0","0","EXP1 090623"
"214",1939-07-31,"0","0","0","EXP1 090623"
"215",1939-08-31,"0","0","0","EXP1 090623"
"216",1939-09-30,"0","0","0","EXP1 090623"
"217",1939-10-31,"0","0","0","EXP1 090623"
"218",1939-11-30,"0","0","0","EXP1 090623"
"219",1939-12-31,"0","0","0","EXP1 090623"
"220",1940-01-31,"0","0","0","EXP1 090623"
