"","Alternative","Water Year","Mean","Min","Max"
"1","Alt1","AN",27.1500318732848,3.89741483184452,59.4765955483453
"2","Alt1","BN",30.963213026261,9.21450910722718,62.6230870996676
"3","Alt1","CD",30.4449516026321,7.46897877180812,64.9895008814422
"4","Alt1","D",32.3676370940969,10.4362178271966,64.9901306107204
"5","Alt1","W",22.8357994885565,1.68643668322407,64.992235560029
"6","Alt2wTUCPwoVA","AN",21.7625396225793,6.78672534568924,64.9899213721626
"7","Alt2wTUCPwoVA","BN",23.5717450573548,8.16508350155803,49.644467736317
"8","Alt2wTUCPwoVA","CD",26.4079603626444,9.01032555627178,51.7194312063974
"9","Alt2wTUCPwoVA","D",24.3205393654962,4.04073082555079,46.9005844225297
"10","Alt2wTUCPwoVA","W",20.0389099350333,1.72175552507711,64.9923956468392
"11","Alt2woTUCPAllVA","AN",19.7908644188147,5.15480952776066,64.7809050665873
"12","Alt2woTUCPAllVA","BN",21.5163186144525,6.30239356067491,50.8367613409018
"13","Alt2woTUCPAllVA","CD",24.922360728026,8.25543030013026,64.9835499627603
"14","Alt2woTUCPAllVA","D",22.4622578058729,4.77243365564524,47.2667289977639
"15","Alt2woTUCPAllVA","W",19.5727025295135,1.72182574818194,64.9923964722498
"16","Alt2woTUCPDeltaVA","AN",20.0470483720877,5.59864764115824,64.9899253630375
"17","Alt2woTUCPDeltaVA","BN",22.0172777566666,6.71287108864645,50.4558475731197
"18","Alt2woTUCPDeltaVA","CD",25.5240098328625,7.98718687161379,64.9837152197541
"19","Alt2woTUCPDeltaVA","D",22.6619848917512,3.59371403309632,47.2505377209698
"20","Alt2woTUCPDeltaVA","W",19.6003229432647,1.7218512445507,64.9923964479667
"21","Alt2woTUCPwoVA","AN",21.772081774347,6.78624188494075,64.9899183539041
"22","Alt2woTUCPwoVA","BN",23.4756586554669,8.51682891413789,49.532845529666
"23","Alt2woTUCPwoVA","CD",25.5439826918263,8.20234152599714,54.0666351027438
"24","Alt2woTUCPwoVA","D",24.2028849579133,3.61942315699577,46.8838821394397
"25","Alt2woTUCPwoVA","W",20.0360826124869,1.7217681665978,64.9923954804812
"26","Alt3","AN",10.4453865235102,1.52609323345632,40.9655642922661
"27","Alt3","BN",12.4049480820757,1.46508609912457,53.6453089137021
"28","Alt3","CD",15.3075947371978,2.62578360867321,45.639755039269
"29","Alt3","D",12.5998047288889,1.9610435085373,37.8698226445509
"30","Alt3","W",10.5372802193249,0.353310049075348,54.1189240670511
"31","Alt4","AN",21.5178711710912,6.34482728688703,59.3716509431603
"32","Alt4","BN",23.7444649089804,8.35701751373903,47.2950719824024
"33","Alt4","CD",26.7355530801013,8.49214319122892,57.3022552865432
"34","Alt4","D",24.9764010255529,3.66929432054146,51.762103299307
"35","Alt4","W",19.6543540726252,1.72166957581551,56.852650829064
"36","EXP1","AN",0,0,0
"37","EXP1","BN",0,0,0
"38","EXP1","CD",0,0,0
"39","EXP1","D",0,0,0
"40","EXP1","W",0,0,0
"41","EXP3","AN",0,0,0
"42","EXP3","BN",0,0,0
"43","EXP3","CD",0,0,0
"44","EXP3","D",0,0,0
"45","EXP3","W",0,0,0
"46","NAA","AN",20.6791772188976,6.31736089487536,64.9899381378385
"47","NAA","BN",22.9776591052219,7.58780307533468,51.9128030118105
"48","NAA","CD",26.6133257049184,12.4175474319188,64.9836758281357
"49","NAA","D",24.5057008095319,3.58900118283017,49.9933917998031
"50","NAA","W",18.9487828839017,1.72159692948326,64.9923825627955
