"","Date","DO","Alt"
"102",1930-03-31,"53905.351909605692","EXP1 090623"
"103",1930-04-30,"20509.880877099611","EXP1 090623"
"104",1930-05-31,"9784.0213474301563","EXP1 090623"
"105",1930-06-30,"519.11193506481175","EXP1 090623"
"106",1930-07-31,"0","EXP1 090623"
"107",1930-08-31,"0","EXP1 090623"
"108",1930-09-30,"4193.7530449669766","EXP1 090623"
"109",1930-10-31,"3548.1087731155085","EXP1 090623"
"110",1930-11-30,"5928.9450781126861","EXP1 090623"
"111",1930-12-31,"4745.7181866124129","EXP1 090623"
"112",1931-01-31,"17410.05713614227","EXP1 090623"
"113",1931-02-28,"16084.554383976043","EXP1 090623"
"114",1931-03-31,"14502.546935969203","EXP1 090623"
"115",1931-04-30,"5037.080734847721","EXP1 090623"
"116",1931-05-31,"2946.7131703263863","EXP1 090623"
"117",1931-06-30,"0","EXP1 090623"
"118",1931-07-31,"0","EXP1 090623"
"119",1931-08-31,"0","EXP1 090623"
"120",1931-09-30,"1192.2129904241003","EXP1 090623"
"121",1931-10-31,"977.10146016571434","EXP1 090623"
"122",1931-11-30,"5416.3314400638019","EXP1 090623"
"123",1931-12-31,"41837.181268773791","EXP1 090623"
"124",1932-01-31,"36858.881611060431","EXP1 090623"
"125",1932-02-29,"40738.123007045331","EXP1 090623"
"126",1932-03-31,"26511.904232762125","EXP1 090623"
"127",1932-04-30,"26651.225577253619","EXP1 090623"
"128",1932-05-31,"26827.092507524158","EXP1 090623"
"129",1932-06-30,"4044.6446755963748","EXP1 090623"
"130",1932-07-31,"0","EXP1 090623"
"131",1932-08-31,"0","EXP1 090623"
"132",1932-09-30,"2758.9532836107842","EXP1 090623"
"133",1932-10-31,"1703.2057603856492","EXP1 090623"
"134",1932-11-30,"2729.9657934757115","EXP1 090623"
"135",1932-12-31,"11017.695969188504","EXP1 090623"
"136",1933-01-31,"22170.194701299708","EXP1 090623"
"137",1933-02-28,"19727.087312020976","EXP1 090623"
"138",1933-03-31,"22635.930284918566","EXP1 090623"
"139",1933-04-30,"12320.324583094287","EXP1 090623"
"140",1933-05-31,"11748.536303820709","EXP1 090623"
"141",1933-06-30,"416.97448903398549","EXP1 090623"
"142",1933-07-31,"0","EXP1 090623"
"143",1933-08-31,"0","EXP1 090623"
"144",1933-09-30,"2507.7919903987149","EXP1 090623"
"145",1933-10-31,"2109.3361345812955","EXP1 090623"
"146",1933-11-30,"4009.5183764176541","EXP1 090623"
"147",1933-12-31,"23510.70165039922","EXP1 090623"
"148",1934-01-31,"28964.261431704763","EXP1 090623"
"149",1934-02-28,"31902.662678365974","EXP1 090623"
"150",1934-03-31,"21899.438328639837","EXP1 090623"
"151",1934-04-30,"10577.336501065764","EXP1 090623"
"152",1934-05-31,"2954.8382678655507","EXP1 090623"
"153",1934-06-30,"0","EXP1 090623"
"154",1934-07-31,"0","EXP1 090623"
"155",1934-08-31,"0","EXP1 090623"
"156",1934-09-30,"1597.2445640662174","EXP1 090623"
"157",1934-10-31,"717.4919685554521","EXP1 090623"
"158",1934-11-30,"13457.874743784518","EXP1 090623"
"159",1934-12-31,"12523.886717764875","EXP1 090623"
"160",1935-01-31,"50471.672028822155","EXP1 090623"
"161",1935-02-28,"29199.540002998943","EXP1 090623"
"162",1935-03-31,"46895.423867865131","EXP1 090623"
"163",1935-04-30,"93357.959513522728","EXP1 090623"
"164",1935-05-31,"25507.724554556789","EXP1 090623"
"165",1935-06-30,"5549.2040844548837","EXP1 090623"
"166",1935-07-31,"0","EXP1 090623"
"167",1935-08-31,"0","EXP1 090623"
"168",1935-09-30,"3171.4930657463456","EXP1 090623"
"169",1935-10-31,"5094.395822875088","EXP1 090623"
"170",1935-11-30,"5007.0862473476336","EXP1 090623"
"171",1935-12-31,"9696.2409254775812","EXP1 090623"
"172",1936-01-31,"69474.105233531169","EXP1 090623"
"173",1936-02-29,"149370.90394635568","EXP1 090623"
"174",1936-03-31,"55415.759279907834","EXP1 090623"
"175",1936-04-30,"48575.345891403755","EXP1 090623"
"176",1936-05-31,"16895.745052781083","EXP1 090623"
"177",1936-06-30,"7742.638788922919","EXP1 090623"
"178",1936-07-31,"0","EXP1 090623"
"179",1936-08-31,"0","EXP1 090623"
"180",1936-09-30,"4080.1612179103372","EXP1 090623"
"181",1936-10-31,"2492.7553971070342","EXP1 090623"
"182",1936-11-30,"3120.5765673671594","EXP1 090623"
"183",1936-12-31,"10148.672362864419","EXP1 090623"
"184",1937-01-31,"19385.840108654967","EXP1 090623"
"185",1937-02-28,"85567.933213006181","EXP1 090623"
"186",1937-03-31,"80079.012957901985","EXP1 090623"
"187",1937-04-30,"51152.620701960048","EXP1 090623"
"188",1937-05-31,"27984.041554129228","EXP1 090623"
"189",1937-06-30,"7381.8146493790691","EXP1 090623"
"190",1937-07-31,"0","EXP1 090623"
"191",1937-08-31,"0","EXP1 090623"
"192",1937-09-30,"4041.2007096437401","EXP1 090623"
"193",1937-10-31,"5449.8681284758404","EXP1 090623"
"194",1937-11-30,"37879.510141141676","EXP1 090623"
"195",1937-12-31,"103108.45896923833","EXP1 090623"
"196",1938-01-31,"48568.696359828951","EXP1 090623"
"197",1938-02-28,"200498.72112397314","EXP1 090623"
"198",1938-03-31,"211945.92615567087","EXP1 090623"
"199",1938-04-30,"95722.64235206593","EXP1 090623"
"200",1938-05-31,"67704.000991446519","EXP1 090623"
"201",1938-06-30,"23684.579427189856","EXP1 090623"
"202",1938-07-31,"3481.0872883310394","EXP1 090623"
"203",1938-08-31,"2944.8500641814858","EXP1 090623"
"204",1938-09-30,"9015.2093913590634","EXP1 090623"
"205",1938-10-31,"10551.923487293903","EXP1 090623"
"206",1938-11-30,"8397.6733608888862","EXP1 090623"
"207",1938-12-31,"13851.55290298209","EXP1 090623"
"208",1939-01-31,"13696.119266959544","EXP1 090623"
"209",1939-02-28,"18749.600804592723","EXP1 090623"
"210",1939-03-31,"24157.356946985194","EXP1 090623"
"211",1939-04-30,"10979.182150815974","EXP1 090623"
"212",1939-05-31,"4378.8314390378328","EXP1 090623"
"213",1939-06-30,"471.56819472127762","EXP1 090623"
"214",1939-07-31,"0","EXP1 090623"
"215",1939-08-31,"0","EXP1 090623"
"216",1939-09-30,"2651.0792831344461","EXP1 090623"
"217",1939-10-31,"1880.2465545329871","EXP1 090623"
"218",1939-11-30,"2396.0228180671688","EXP1 090623"
"219",1939-12-31,"9948.4432126832926","EXP1 090623"
"220",1940-01-31,"72308.198743321802","EXP1 090623"
"221",1940-02-29,"121949.58646700125","EXP1 090623"
"222",1940-03-31,"133668.86750473236","EXP1 090623"
"223",1940-04-30,"74341.804899529176","EXP1 090623"
"224",1940-05-31,"17473.785746843616","EXP1 090623"
"225",1940-06-30,"3091.5115801929937","EXP1 090623"
"226",1940-07-31,"0","EXP1 090623"
"227",1940-08-31,"0","EXP1 090623"
"228",1940-09-30,"3934.5503333932843","EXP1 090623"
"229",1940-10-31,"6490.253962017252","EXP1 090623"
"230",1940-11-30,"9365.8367014479081","EXP1 090623"
"231",1940-12-31,"83469.848806164562","EXP1 090623"
"232",1941-01-31,"118710.08429848598","EXP1 090623"
"233",1941-02-28,"151675.46979997293","EXP1 090623"
"234",1941-03-31,"112583.68395020087","EXP1 090623"
"235",1941-04-30,"107012.92864952789","EXP1 090623"
"236",1941-05-31,"51136.728518474702","EXP1 090623"
"237",1941-06-30,"17161.431298020212","EXP1 090623"
"238",1941-07-31,"1927.8329030264808","EXP1 090623"
"239",1941-08-31,"1779.5076821558655","EXP1 090623"
"240",1941-09-30,"8699.0880376557216","EXP1 090623"
