"","Date","DO","Alt"
"102",1930-03-31,"53908.070662578488","EXP1 071323"
"103",1930-04-30,"20483.668325733412","EXP1 071323"
"104",1930-05-31,"9732.9469360753501","EXP1 071323"
"105",1930-06-30,"398.82722927607813","EXP1 071323"
"106",1930-07-31,"0","EXP1 071323"
"107",1930-08-31,"0","EXP1 071323"
"108",1930-09-30,"4554.4223390395809","EXP1 071323"
"109",1930-10-31,"3616.254029343072","EXP1 071323"
"110",1930-11-30,"5939.8218268390647","EXP1 071323"
"111",1930-12-31,"4749.6111885695382","EXP1 071323"
"112",1931-01-31,"17427.17730846654","EXP1 071323"
"113",1931-02-28,"16104.058297737018","EXP1 071323"
"114",1931-03-31,"14439.147936850466","EXP1 071323"
"115",1931-04-30,"4951.2345195015214","EXP1 071323"
"116",1931-05-31,"2917.357915573742","EXP1 071323"
"117",1931-06-30,"0","EXP1 071323"
"118",1931-07-31,"0","EXP1 071323"
"119",1931-08-31,"0","EXP1 071323"
"120",1931-09-30,"1006.0833192504928","EXP1 071323"
"121",1931-10-31,"889.73687282701826","EXP1 071323"
"122",1931-11-30,"5396.7517206712992","EXP1 071323"
"123",1931-12-31,"41839.299775710249","EXP1 071323"
"124",1932-01-31,"36878.654309149773","EXP1 071323"
"125",1932-02-29,"40723.981413601578","EXP1 071323"
"126",1932-03-31,"26487.965446736947","EXP1 071323"
"127",1932-04-30,"26602.745233651258","EXP1 071323"
"128",1932-05-31,"26767.237640773634","EXP1 071323"
"129",1932-06-30,"3940.600825012491","EXP1 071323"
"130",1932-07-31,"0","EXP1 071323"
"131",1932-08-31,"0","EXP1 071323"
"132",1932-09-30,"2585.1648616572047","EXP1 071323"
"133",1932-10-31,"1597.0372790917104","EXP1 071323"
"134",1932-11-30,"2722.2302150412147","EXP1 071323"
"135",1932-12-31,"11020.925872171869","EXP1 071323"
"136",1933-01-31,"22175.84970177371","EXP1 071323"
"137",1933-02-28,"19707.716924148062","EXP1 071323"
"138",1933-03-31,"22613.065005498407","EXP1 071323"
"139",1933-04-30,"12290.803784258547","EXP1 071323"
"140",1933-05-31,"11685.669919115413","EXP1 071323"
"141",1933-06-30,"0","EXP1 071323"
"142",1933-07-31,"0","EXP1 071323"
"143",1933-08-31,"0","EXP1 071323"
"144",1933-09-30,"2279.2604886352615","EXP1 071323"
"145",1933-10-31,"1943.5791797443899","EXP1 071323"
"146",1933-11-30,"4077.6227680179472","EXP1 071323"
"147",1933-12-31,"23492.793203460114","EXP1 071323"
"148",1934-01-31,"28929.934048215866","EXP1 071323"
"149",1934-02-28,"31882.983678899061","EXP1 071323"
"150",1934-03-31,"21880.874917598947","EXP1 071323"
"151",1934-04-30,"10551.650534081618","EXP1 071323"
"152",1934-05-31,"2911.8160412282837","EXP1 071323"
"153",1934-06-30,"0","EXP1 071323"
"154",1934-07-31,"0","EXP1 071323"
"155",1934-08-31,"0","EXP1 071323"
"156",1934-09-30,"1917.7372309103855","EXP1 071323"
"157",1934-10-31,"913.77678674418485","EXP1 071323"
"158",1934-11-30,"13511.646502594351","EXP1 071323"
"159",1934-12-31,"12535.639971777035","EXP1 071323"
"160",1935-01-31,"50484.782733271873","EXP1 071323"
"161",1935-02-28,"29295.212992777178","EXP1 071323"
"162",1935-03-31,"46915.762002007017","EXP1 071323"
"163",1935-04-30,"93279.547472399732","EXP1 071323"
"164",1935-05-31,"25234.387070384841","EXP1 071323"
"165",1935-06-30,"4683.0386199315762","EXP1 071323"
"166",1935-07-31,"0","EXP1 071323"
"167",1935-08-31,"0","EXP1 071323"
"168",1935-09-30,"3354.8624674143912","EXP1 071323"
"169",1935-10-31,"5000.1175521405812","EXP1 071323"
"170",1935-11-30,"4981.0122193402267","EXP1 071323"
"171",1935-12-31,"9701.1510215581966","EXP1 071323"
"172",1936-01-31,"69431.117930646695","EXP1 071323"
"173",1936-02-29,"149938.86260198019","EXP1 071323"
"174",1936-03-31,"55540.098678226997","EXP1 071323"
"175",1936-04-30,"48521.666454217855","EXP1 071323"
"176",1936-05-31,"16807.43408794139","EXP1 071323"
"177",1936-06-30,"7006.0592441504932","EXP1 071323"
"178",1936-07-31,"0","EXP1 071323"
"179",1936-08-31,"0","EXP1 071323"
"180",1936-09-30,"4036.1271789534871","EXP1 071323"
"181",1936-10-31,"2348.5387664930522","EXP1 071323"
"182",1936-11-30,"2994.7162524920191","EXP1 071323"
"183",1936-12-31,"10083.857857661749","EXP1 071323"
"184",1937-01-31,"19377.104864043515","EXP1 071323"
"185",1937-02-28,"85238.927745902722","EXP1 071323"
"186",1937-03-31,"79934.008332805301","EXP1 071323"
"187",1937-04-30,"51023.159119718315","EXP1 071323"
"188",1937-05-31,"27874.492523837689","EXP1 071323"
"189",1937-06-30,"6559.3071457423284","EXP1 071323"
"190",1937-07-31,"0","EXP1 071323"
"191",1937-08-31,"0","EXP1 071323"
"192",1937-09-30,"4210.7107064816555","EXP1 071323"
"193",1937-10-31,"5390.2023139845933","EXP1 071323"
